type	names	baking_powder	baking_soda	brown_sugar	butter	buttermilk	cake_mix	cream	egg	flour	juice	lard	margarine	milk	oil	salt	shortening	soymilk	sugar	water	yeast	ingredients
biscuits	beer-biscuits	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.167	2.0	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  3 teaspoons baking powder,  1 teaspoon salt,  1/4 cup shortening,  3/4 cup beer,
biscuits	biscuit-baking-mix	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.5	16.0	0.0	0.0	0.0	0.0	9 cups all-purpose flour,  1/4 cup baking powder,  1 tablespoon salt,  2 cups shortening,
biscuits	biscuits-for-two	0.167	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.5	0.0	0.021	1.0	0.0	0.0	0.0	0.0	1/2 cup all-purpose flour,  1 teaspoon baking powder,  1/8 teaspoon salt,  2 tablespoons shortening,  3 tablespoons milk,  2 tablespoons butter, melted, divided,
biscuits	biscuits-with-ham-butter	0.333	0.0	0.0	4.0	0.0	0.0	6.0	1.75	12.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	1 1/2 cups all-purpose flour,  2 teaspoons baking powder,  1/2 teaspoon salt,  3/4 cup sour cream,  1 egg, lightly beaten,  1 cup cubed fully cooked ham,  1/2 cup butter or margarine, softened,
biscuits	breakfast-buns	0.5	0.0	0.0	1.5	0.0	0.0	0.0	3.5	16.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2 cups all-purpose flour,  3/4 cup sugar, divided,  1 tablespoon baking powder,  3 tablespoons butter or margarine,  2 eggs, lightly beaten,  1 teaspoon vanilla extract,  1/2 cup milk,  1 cup raisins,  1/2 teaspoon ground cinnamon,
biscuits	brown-sugar-biscuits	0.5	0.0	2.0	0.0	0.0	0.0	0.042	0.0	16.0	0.0	0.0	0.0	5.328	0.0	0.042	4.0	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  1/4 cup brown sugar,  1 tablespoon baking powder,  1/4 teaspoon salt,  1/4 teaspoon cream of tartar,  1/2 cup butter flavored shortening,  2/3 cup milk,  1 teaspoon vanilla extract,  &nbsp;,  1/4 cup butter, softened,  1/4 cup brown sugar,  5 1/2 teaspoons ground cinnamon,
biscuits	buttermilk-biscuits-3	0.417	0.0	0.0	6.0	6.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.021	2.664	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  2 1/2 teaspoons baking powder,  1/8 teaspoon salt,  1/3 cup butter flavored shortening,  3/4 cup buttermilk,
biscuits	cardamom-biscuits	0.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	6.664	1.5	0.021	0.0	0.0	0.5	0.0	0.0	1 1/2 cups all-purpose flour,  1/2 cup nonfat dry milk powder,  2 teaspoons baking powder,  1 teaspoon ground cardamom,  1/8 teaspoon salt,  1/3 cup warm milk,  1/3 cup honey,  3 tablespoons canola oil,  1/2 teaspoon vanilla extract,  1 tablespoon turbinado sugar,
biscuits	cheddar-buttermilk-biscuits	0.667	0.0	0.0	10.0	6.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	1.0	0.0	0.0	2 cups all-purpose flour,  2 tablespoons sugar,  4 teaspoons baking powder,  1/2 teaspoon salt,  1/4 teaspoon cayenne pepper,  1/2 cup cold butter or margarine,  1/2 cup shredded sharp Cheddar cheese,  3/4 cup buttermilk,
biscuits	cheddar-onion-drop-biscuits	0.083	0.083	0.0	9.5	8.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	2 1/4 cups all-purpose flour,  1/2 teaspoon baking powder,  1/2 teaspoon baking soda,  1/2 teaspoon salt,  3 tablespoons butter,  1 tablespoon dried minced onion,  1/2 cup shredded Parmesan cheese,  1 1/2 cups shredded sharp Cheddar cheese,  1 cup 1% buttermilk,
biscuits	cheddar-puff-biscuits	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.5	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1/2 cup milk,  2 tablespoons butter or margarine,  1/2 cup all-purpose flour,  2 eggs,  1/2 cup shredded Cheddar cheese,  1/4 cup chopped onion,  1/4 teaspoon garlic powder,  1/4 teaspoon pepper,
biscuits	cheese-biscuits	0.333	0.042	0.0	6.0	6.0	0.0	0.0	0.0	13.328	0.0	0.0	0.0	0.0	0.0	0.083	2.0	0.0	0.0	0.0	0.0	1 2/3 cups all-purpose flour,  2 teaspoons baking powder,  1/2 teaspoon salt,  1/4 teaspoon baking soda,  1/4 cup shortening,  1 cup shredded Cheddar cheese,  3/4 cup buttermilk,
biscuits	cheese-biscuits-ii	0.667	0.0	0.0	0.0	0.0	0.0	0.083	0.0	16.0	0.0	0.0	0.0	5.328	0.0	0.083	4.0	0.0	0.333	0.0	0.0	2 cups all-purpose flour,  2 teaspoons white sugar,  4 teaspoons baking powder,  1/2 teaspoon salt,  1/2 teaspoon cream of tartar,  1/2 cup shortening,  2/3 cup shredded Cheddar cheese,  1/4 cup chopped green bell pepper,  2 tablespoons chopped pimento peppers,  2/3 cup milk,
biscuits	cheese-drop-biscuits	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	6.0	0.0	0.167	2.0	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  1 tablespoon baking powder,  1 teaspoon dried chives,  1/2 teaspoon garlic salt,  1/2 teaspoon salt,  1/4 cup shortening,  3/4 cup milk,  1/4 cup shredded sharp Cheddar cheese,
biscuits	cheese-garlic-biscuits-ii	0.083	0.0	0.0	2.5	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	8.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	1 3/4 cups all-purpose flour,  1/2 teaspoon salt,  1/2 teaspoon baking powder,  5 tablespoons butter,  1 cup milk,  1 cup shredded Cheddar cheese,  &nbsp;,  1/4 cup butter, melted,  1 clove garlic, minced,
biscuits	cheesy-biscuit-triangles	0.5	0.0	0.0	2.664	2.664	0.0	2.0	3.75	16.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  3 teaspoons baking powder,  1/2 teaspoon salt,  1/2 teaspoon dried oregano, divided,  1/2 teaspoon dried basil, divided,  2 egg whites,  1 egg,  1 cup crumbled feta cheese,  1/2 cup reduced-fat ricotta cheese,  1/3 cup 1% buttermilk,  1/4 cup reduced-fat sour cream,
biscuits	cheesy-onion-biscuits	0.021	0.021	0.0	2.664	2.664	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.021	0.5	0.0	0.0	0.0	0.0	1/4 cup chopped onion,  3/4 cup all-purpose flour,  1/8 teaspoon baking powder,  1/8 teaspoon baking soda,  1/8 teaspoon salt,  1 tablespoon shortening,  1/4 cup shredded Cheddar cheese,  1/3 cup 1% buttermilk,
biscuits	chili-cheddar-biscuits	0.5	0.0	0.0	4.0	0.0	0.0	0.0	1.75	10.664	0.0	0.0	0.0	4.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	1 1/3 cups all-purpose flour,  3 teaspoons baking powder,  3 teaspoons dried parsley flakes,  1 teaspoon chili powder,  1/4 teaspoon salt,  1/2 cup cold butter or margarine,  1/2 cup milk,  1 egg, beaten,  1 1/2 cups shredded Cheddar cheese,
biscuits	chive-cheese-biscuits	0.5	0.0	0.0	0.0	0.0	0.0	0.083	0.0	16.0	0.0	0.0	0.0	6.0	0.0	0.083	4.0	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  3 teaspoons baking powder,  1/2 teaspoon cream of tartar,  1/2 teaspoon salt,  3/4 cup shredded Cheddar cheese,  1/2 cup shortening,  3/4 cup milk,  1/3 cup snipped chives,
biscuits	cinnamon-raisin-biscuits	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	5.328	0.0	0.083	4.0	0.0	0.5	0.0	0.0	2 cups all-purpose flour,  1 tablespoon baking powder,  1 tablespoon sugar,  1 teaspoon ground cinnamon,  1/2 teaspoon salt,  1/2 cup shortening,  2/3 cup milk,  1/3 cup raisins,  ICING:,  1 cup confectioners' sugar,  1 1/2 tablespoons milk,  1/2 teaspoon vanilla extract,
biscuits	cinnamon-raisin-buttermilk-biscuits	0.333	0.0	0.0	2.664	2.664	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	2.664	0.0	0.5	0.0	0.0	1 cup all-purpose flour,  1 tablespoon sugar,  2 teaspoons baking powder,  1/2 teaspoon ground cinnamon,  1/3 cup butter flavored shortening,  1/3 cup 1% buttermilk,  1/4 cup golden raisins,  GLAZE:,  1/2 cup confectioners' sugar,  1 tablespoon milk,  1/4 teaspoon vanilla extract,
biscuits	cinnamon-sour-cream-biscuits	0.333	0.042	0.0	0.0	0.0	0.0	8.0	0.0	16.0	0.0	0.0	4.0	1.333	0.0	0.042	0.0	0.0	1.0	0.0	0.0	2 cups all-purpose flour,  2 tablespoons white sugar,  1/2 teaspoon ground cinnamon,  2 teaspoons baking powder,  1/4 teaspoon baking soda,  1/4 teaspoon salt,  1/2 cup margarine,  1 cup sour cream,  2 tablespoons milk,  1/2 cup raisins,  1/2 cup confectioners' sugar,  2 teaspoons milk,
biscuits	cinnamon-sugar-fan-biscuits	0.667	0.0	0.0	0.0	0.0	0.0	0.083	0.0	16.0	0.0	0.0	0.0	5.328	0.0	0.083	4.0	0.0	1.5	0.0	0.0	2 cups all-purpose flour,  3 tablespoons sugar,  4 teaspoons baking powder,  1/2 teaspoon salt,  1/2 teaspoon cream of tartar,  1/2 cup shortening,  2/3 cup milk,  FILLING:,  3 tablespoons butter or margarine, softened,  3 tablespoons sugar,  1 teaspoon ground cinnamon,
biscuits	coconut-biscuits	0.417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	8.0	0.0	0.083	2.664	0.0	1.0	0.0	0.0	2 cups all-purpose flour,  2 tablespoons sugar,  2 1/2 teaspoons baking powder,  1/2 teaspoon salt,  1/3 cup shortening,  1 cup milk,  1/2 teaspoon vanilla extract,  3/4 cup flaked coconut, toasted,
biscuits	crissis-sweet-potato-biscuits	1.0	0.0	0.0	2.664	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	3.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	1 cup sifted all-purpose flour,  1/4 cup toasted wheat germ,  2 tablespoons baking powder,  1/2 teaspoon salt,  1/3 cup butter, melted,  1/4 cup evaporated milk, heated,  1 cup mashed sweet potatoes,  2 tablespoons milk,  1 pinch ground nutmeg,
biscuits	dilly-biscuit-squares	0.667	0.0	0.0	2.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	6.0	0.0	0.104	2.0	0.0	0.5	0.0	0.0	2 cups all-purpose flour,  4 teaspoons baking powder,  1 tablespoon sugar,  1/2 teaspoon salt,  1 cup shredded Cheddar cheese,  1/4 cup shortening,  3/4 cup milk, or as needed,  DILL BUTTER:,  1/4 cup butter (no substitutes), melted,  1/2 teaspoon dill weed,  1/8 teaspoon garlic salt,
biscuits	e-z-drop-biscuits	0.5	0.0	0.0	4.0	0.0	0.0	0.083	0.0	16.0	0.0	0.0	0.0	8.0	0.0	0.042	0.0	0.0	0.333	0.0	0.0	2 cups all-purpose flour,  1 tablespoon baking powder,  2 teaspoons white sugar,  1/2 teaspoon cream of tartar,  1/4 teaspoon salt,  1/2 cup melted butter,  1 cup milk,
biscuits	easy-baking-powder-drop-biscuits	0.417	0.0	0.0	4.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	10.0	0.0	0.083	0.0	0.0	0.5	0.0	0.0	2 cups all-purpose flour,  2 1/2 teaspoons baking powder,  1/2 teaspoon salt,  1 tablespoon white sugar,  1/2 cup chilled butter, diced,  1 1/4 cups whole milk,
biscuits	easy-biscuit-mixture	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.333	16.0	0.0	2.0	0.0	0.0	10 cups all-purpose flour,  1/2 cup baking powder,  1/4 cup white sugar,  2 teaspoons salt,  2 cups shortening,
biscuits	fake-sourdough-biscuits	0.667	0.042	0.0	16.0	16.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.167	4.0	0.0	4.0	6.0	2.0	5 cups all-purpose flour,  1/2 cup white sugar,  1/2 cup shortening,  1 teaspoon salt,  4 teaspoons baking powder,  1/4 teaspoon baking soda,  2 (.25 ounce) packages active dry yeast,  3/4 cup warm water (110 degrees F/45 degrees C),  2 cups lukewarm buttermilk,
biscuits	flaky-dill-biscuits	0.5	0.0	0.0	4.0	0.0	0.0	4.5	3.5	16.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  3 teaspoons baking powder,  2 teaspoons dill weed,  3/4 teaspoon salt,  1/4 teaspoon pepper,  1/2 cup cold butter or margarine,  2 eggs, lightly beaten,  9 tablespoons half-and-half cream, divided,
biscuits	fluffy-biscuits	0.667	0.0	0.0	0.0	0.0	0.0	0.0	1.75	16.0	0.0	0.0	0.0	5.328	0.0	0.083	4.0	0.0	0.5	0.0	0.0	2 cups all-purpose flour,  4 teaspoons baking powder,  3 teaspoons sugar,  1/2 teaspoon salt,  1/2 cup shortening,  1 egg,  2/3 cup milk,
biscuits	fluffy-whole-wheat-biscuits	0.667	0.0	0.0	2.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	8.0	0.0	0.125	0.0	0.0	0.5	0.0	0.0	1 cup all-purpose flour,  1 cup whole wheat flour,  4 teaspoons baking powder,  1 tablespoon sugar,  3/4 teaspoon salt,  1/4 cup butter or margarine,  1 cup milk,
biscuits	garlic-potato-biscuits	0.5	0.0	0.0	2.664	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	2.664	0.0	0.167	0.0	0.0	0.0	0.0	0.0	1/2 pound diced peeled potatoes,  3 cloves garlic, peeled,  1/3 cup butter or margarine, softened,  1 teaspoon salt,  1/4 teaspoon pepper,  2 cups all-purpose flour,  1 tablespoon baking powder,  1/3 cup milk,
biscuits	glazed-cinnamon-biscuits	0.667	0.0	0.0	3.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	6.0	0.0	0.083	0.0	0.0	2.0	0.0	0.0	2 cups all-purpose flour,  4 teaspoons baking powder,  1/2 teaspoon salt,  6 tablespoons butter or margarine, divided,  3/4 cup milk,  1/4 cup sugar,  1 teaspoon ground cinnamon,  GLAZE:,  1 cup confectioners' sugar,  1 tablespoon butter or margarine, melted,  5 teaspoons milk,  1/8 teaspoon vanilla extract,
biscuits	gregs-southern-biscuits	0.333	0.042	0.0	10.0	8.0	0.0	0.0	0.0	16.0	0.0	2.083	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	1/2 teaspoon lard,  2 cups all-purpose flour,  3/4 teaspoon salt,  1/4 teaspoon baking soda,  2 teaspoons baking powder,  2 tablespoons butter, frozen,  2 tablespoons lard, frozen,  1 teaspoon bacon drippings,  1 cup buttermilk,
biscuits	ham-n-cheese-biscuit-twists	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.328	0.0	0.0	0.0	2.664	0.0	0.021	0.667	0.0	0.0	0.0	0.0	2/3 cup all-purpose flour,  3/4 teaspoon baking powder,  1/8 teaspoon salt,  4 teaspoons shortening,  1/2 cup shredded Cheddar cheese,  1/3 cup milk,  1 (4.5 ounce) can deviled ham spread,
biscuits	ham-roll-ups	0.667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	8.0	0.0	0.083	2.664	0.0	0.0	0.0	0.0	2 1/2 cups all-purpose flour,  4 teaspoons baking powder,  1/2 teaspoon salt,  1/3 cup shortening,  1 cup milk,  3 cups cubed fully cooked ham (1/4-inch pieces),  1/2 cup minced onion,  2 teaspoons dry mustard,  CHEESE SAUCE:,  2 teaspoons butter or margarine,  2 teaspoons all-purpose flour,  1/2 cup milk,  1 teaspoon steak sauce,  1 teaspoon dry mustard,  1/2 teaspoon salt,  1/8 teaspoon pepper,  2 cups shredded Cheddar cheese,
biscuits	heart-biscuits	0.5	0.0	0.0	12.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	6.0	0.0	0.167	0.0	0.0	6.0	0.0	0.0	2 cups all-purpose flour,  1 tablespoon baking powder,  1 teaspoon salt,  1/2 cup cold butter or margarine,  3/4 cup milk,  HONEY SPREAD:,  1/2 cup butter or margarine, softened,  1/4 cup honey,  CINNAMON SPREAD:,  1/2 cup butter or margarine, softened,  3/4 cup sugar,  1 tablespoon ground cinnamon,
biscuits	holiday-biscuit-bubble-ring	0.667	0.0	0.0	2.5	0.0	0.0	1.0	0.0	16.0	0.0	0.0	0.0	5.328	0.0	0.0	2.664	0.0	3.0	0.0	0.0	1 (8 ounce) package cream cheese,  2 cups all-purpose flour,  6 tablespoons sugar, divided,  4 teaspoons baking powder,  1/3 cup shortening,  2/3 cup milk,  1/2 teaspoon ground cinnamon,  5 tablespoons butter or margarine, melted, divided,  1/3 cup chopped pecans,  1/3 cup chopped red candied cherries,  GLAZE:,  1/4 cup light corn syrup,  2 tablespoons brown sugar,  2 tablespoons butter or margarine,
biscuits	iced-cinnamon-biscuits	0.5	0.042	0.0	6.0	6.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.167	2.664	0.0	2.0	0.0	0.0	2 cups all-purpose flour,  1/4 cup sugar,  1 tablespoon baking powder,  1 teaspoon salt,  1 teaspoon ground cinnamon,  1/4 teaspoon baking soda,  1/3 cup shortening,  1/2 cup raisins,  3/4 cup buttermilk,  ICING:,  1/3 cup confectioners' sugar,  1 teaspoon milk,
biscuits	jamaican-fried-dumplings	0.333	0.0	0.0	4.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	8.0	0.25	0.0	0.0	0.0	4.0	0.0	4 cups all-purpose flour,  2 teaspoons baking powder,  1 1/2 teaspoons salt,  1/2 cup butter,  1/2 cup cold water,  1 cup vegetable oil for frying,
biscuits	johnnys-biscuits	0.0	0.021	0.0	11.75	10.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.125	1.0	0.0	0.75	0.0	0.0	2 cups self-rising flour,  1/8 teaspoon baking soda,  3/4 teaspoon salt,  1 1/2 tablespoons white sugar,  2 tablespoons shortening,  2 tablespoons butter, softened,  1 1/4 cups buttermilk,  1 cup all-purpose flour,  1 1/2 tablespoons butter, melted,
biscuits	jps-big-daddy-biscuits	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	8.0	0.0	0.167	2.664	0.0	0.5	0.0	0.0	2 cups all-purpose flour,  1 tablespoon baking powder,  1 teaspoon salt,  1 tablespoon white sugar,  1/3 cup shortening,  1 cup milk,
biscuits	maple-leaf-biscuits	0.5	0.0	0.0	0.5	0.0	0.0	0.083	0.0	12.0	0.0	0.0	0.0	5.328	0.0	0.083	2.664	0.0	0.167	0.0	0.0	1 1/2 cups all-purpose flour,  1/2 cup cornmeal,  1 tablespoon baking powder,  1 teaspoon sugar,  1/2 teaspoon salt,  1/2 teaspoon cream of tartar,  1/3 cup shortening,  2/3 cup milk,  1 tablespoon butter or margarine, melted,  1 tablespoon maple syrup,
biscuits	maple-leaf-biscuits-2	0.5	0.0	0.0	0.5	0.0	0.0	0.083	0.0	12.0	0.0	0.0	0.0	5.328	0.0	0.083	2.664	0.0	0.167	0.0	0.0	1 1/2 cups all-purpose flour,  1/2 cup cornmeal,  1 tablespoon baking powder,  1 teaspoon sugar,  1/2 teaspoon salt,  1/2 teaspoon cream of tartar,  1/3 cup shortening,  2/3 cup milk,  1 tablespoon butter or margarine, melted,  1 tablespoon maple syrup,
biscuits	moms-baking-powder-biscuits	0.417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	6.0	0.0	0.125	2.5	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  2 1/2 teaspoons baking powder,  3/4 teaspoon salt,  5 tablespoons shortening,  3/4 cup milk,
biscuits	moms-buttermilk-biscuits-2	0.375	0.042	0.0	6.0	6.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.125	2.664	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  2 1/4 teaspoons baking powder,  3/4 teaspoon salt,  1/4 teaspoon baking soda,  1/3 cup shortening,  3/4 cup buttermilk,
biscuits	never-fail-biscuits	0.667	0.0	0.0	4.0	0.0	0.0	0.083	0.0	16.0	0.0	0.0	0.0	6.0	0.0	0.083	0.0	0.0	0.333	0.0	0.0	2 cups all-purpose flour,  1/2 teaspoon salt,  4 teaspoons baking powder,  1/2 teaspoon cream of tartar,  2 teaspoons white sugar,  1/2 cup butter, chilled and diced,  3/4 cup milk,
biscuits	oatmeal-biscuits	0.333	0.167	4.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	6.0	0.0	0.167	4.0	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  1/2 cup packed brown sugar,  2 teaspoons baking powder,  1 teaspoon baking soda,  1 teaspoon salt,  1/2 cup shortening,  1 1/4 cups quick cooking oats,  3/4 cup milk,
biscuits	orange-pan-rolls	0.125	0.0	0.0	0.5	0.0	0.0	0.021	0.0	4.0	0.0	0.0	0.0	1.5	0.0	0.021	1.0	0.0	0.5	0.0	0.0	1 tablespoon sugar,  1/8 teaspoon ground nutmeg,  1/2 cup all-purpose flour,  3/4 teaspoon baking powder,  1/8 teaspoon cream of tartar,  1/8 teaspoon salt,  1/2 teaspoon grated orange peel,  2 tablespoons shortening,  3 tablespoons milk,  1 tablespoon butter or margarine, melted,
biscuits	parmesan-basil-biscuits	0.417	0.083	0.0	8.0	8.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	1.5	0.083	0.0	0.0	0.0	0.0	0.0	2 1/2 cups all-purpose flour,  1/4 cup shredded Parmesan cheese,  2 tablespoons minced fresh basil,  2 1/2 teaspoons baking powder,  1/2 teaspoon baking soda,  1/2 teaspoon salt,  1/4 teaspoon pepper,  1 cup 1% buttermilk,  3 tablespoons olive or canola oil,
biscuits	pecan-pumpkin-biscuits	0.667	0.0	0.0	4.0	0.0	0.0	2.664	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	2.0	0.0	0.0	2 cups all-purpose flour,  1/4 cup sugar,  4 teaspoons baking powder,  1/2 teaspoon salt,  1/2 teaspoon ground cinnamon,  1/2 teaspoon ground nutmeg,  1/2 cup cold butter or margarine,  1/3 cup chopped pecans, toasted,  2/3 cup canned or cooked pumpkin,  1/3 cup half-and-half cream,
biscuits	pub-peanut-muffins	0.25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	4.0	0.0	0.0	4 cups all-purpose flour,  1/2 cup white sugar,  1 1/2 teaspoons baking powder,  1 1/2 teaspoons salt,  2 cups pale ale or lager beer,  1 cup chopped peanuts,  2 tablespoons butter, melted,
